threshold_gamma,num_nonlocal_gates,depth,num_parameters
0.8116613165438089,2324,2650,3
0.8142541407137804,2332,2811,3
0.8168469648837521,2340,2753,3
0.8194397890537237,2348,2730,3
0.8220326132236954,2356,2697,3
0.8245569081088353,2372,2945,3
0.8270812029939753,2388,2757,3
0.8295829022794863,2396,2855,3
0.8320846015649973,2404,2735,3
0.834563890024413,2416,2874,3
0.8370431784838287,2428,2797,3
0.8395006448978873,2436,2908,3
0.8419581113119461,2444,2823,3
0.8444133982256211,2508,2959,3
0.8468686851392961,2572,3169,3
0.8493239720529713,2540,3082,3
0.8517792589666463,2508,2935,3
0.8541976593670909,2516,3028,3
0.8566160597675356,2524,3044,3
0.8588937291397726,2548,3083,3
0.8611713985120096,2572,2935,3
0.863414474631921,2652,3228,3
0.8656575507518324,2764,3579,3
0.8679006268717437,2724,3474,3
0.8701437029916551,2668,3225,3
0.8723867791115665,2748,3133,3
0.8746298552314778,2860,3660,3
0.8768729313513891,2820,3332,3
0.8791160074713005,2764,3275,3
0.8812630555252551,2908,3408,3
0.8834101035792097,2836,3378,3
0.8855571516331643,2948,3394,3
0.8877041996871189,2892,3349,3
0.8897527796264719,2972,3723,3
0.891801359565825,2932,3467,3
0.893849939505178,3012,3772,3
0.895898519444531,2972,3459,3
0.8978413541303318,3084,3745,3
0.8997841888161328,3196,3840,3
0.9017270235019336,3140,3842,3
0.9036698581877344,3084,3607,3
0.9055294261847983,3260,3874,3
0.907388994181862,3172,3819,3
0.9090273291326604,3300,4084,3
0.9106656640834586,3236,3879,3
0.9123039990342569,3364,4097,3
0.9139423339850551,3300,3946,3
0.9155806689358533,3396,4344,3
0.9172190038866516,3348,4120,3
0.9188573388374499,3444,4304,3
0.9204956737882481,3396,4097,3
0.9221208191700005,3404,4172,3
0.9237459645517528,3412,4063,3
0.925235545135625,3436,4249,3
0.9267251257194972,3460,4129,3
0.9281872029553639,3476,4201,3
0.9296492801912306,3492,4196,3
0.9311113574270973,3508,4249,3
0.932573434662964,3524,4259,3
0.9339399407274539,3532,4400,3
0.9353064467919436,3540,4234,3
0.936642410745446,3636,4677,3
0.9379783746989483,3588,4478,3
0.9393143386524506,3684,4648,3
0.940650302605953,3636,4397,3
0.9419862665594553,3732,4857,3
0.9433222305129576,3684,4634,3
0.9446581944664599,3780,4772,3
0.9459941584199623,3732,4470,3
0.9473096434242853,3748,4765,3
0.9486251284286082,3764,4606,3
